index,review_count,positive_count,positive_sum,negative_count,negative_sum
7403,116,114,50.247534433375854,1,-0.125
7404,13,9,4.1884663046505155,1,-0.39
7405,0,0,0.0,0,0.0
7406,80,67,28.105099680712513,1,-0.010673291355109537
7407,0,0,0.0,0,0.0
7408,9,8,3.189276695526696,1,-0.08
7409,16,16,6.957042938786359,0,0.0
7410,1,1,1.0,0,0.0
7411,0,0,0.0,0,0.0
7412,0,0,0.0,0,0.0
7413,18,17,9.444719381313133,0,0.0
7414,0,0,0.0,0,0.0
7415,17,14,5.4076213297572,1,-0.0625
7416,4,4,1.897103174603175,0,0.0
7417,0,0,0.0,0,0.0
7418,1,1,0.03350059031877215,0,0.0
7419,1,0,0.0,0,0.0
7420,0,0,0.0,0,0.0
7421,44,42,18.544547848268003,1,-0.234375
7422,0,0,0.0,0,0.0
7423,1,1,0.40075757575757576,0,0.0
7424,215,194,75.3701277846295,2,-0.24427083333333321
7425,0,0,0.0,0,0.0
7426,2,1,0.4685714285714286,1,-0.325
7427,62,55,25.141379165257142,0,0.0
7428,45,36,19.927888257575756,0,0.0
7429,0,0,0.0,0,0.0
7430,93,92,41.26401386312916,1,-0.1173611111111111
7431,68,68,30.337877680850905,0,0.0
7432,8,8,3.1031294574533215,0,0.0
7433,4,1,0.30000000000000004,0,0.0
7434,0,0,0.0,0,0.0
7435,6,6,3.1780555555555554,0,0.0
7436,0,0,0.0,0,0.0
7437,49,45,22.633324668297078,2,-0.12638888888888888
7438,0,0,0.0,0,0.0
7439,11,10,3.975836524586524,0,0.0
7440,0,0,0.0,0,0.0
7441,76,64,28.047145580609868,0,0.0
7442,0,0,0.0,0,0.0
7443,0,0,0.0,0,0.0
7444,67,62,27.35280229984137,0,0.0
7445,6,3,0.9025407925407927,0,0.0
7446,4,4,2.108856476856477,0,0.0
7447,147,145,71.96643622259485,0,0.0
7448,1,1,0.07491071428571427,0,0.0
7449,4,4,1.6767543859649123,0,0.0
7450,4,3,1.5246031746031745,0,0.0
7451,0,0,0.0,0,0.0
7452,68,61,28.8063709273183,0,0.0
7453,0,0,0.0,0,0.0
7454,1,1,0.3964495798319328,0,0.0
7455,10,9,4.470780228758169,0,0.0
7456,23,21,10.129329177766675,0,0.0
7457,197,177,81.77221876293858,2,-0.21904761904761902
7458,3,3,1.2590151515151513,0,0.0
7459,40,38,15.443497515546621,1,-0.0050000000000000044
7460,1,1,0.24500000000000002,0,0.0
7461,0,0,0.0,0,0.0
7462,0,0,0.0,0,0.0
7463,3,3,2.0458333333333334,0,0.0
7464,1,1,0.5666666666666667,0,0.0
7465,0,0,0.0,0,0.0
7466,0,0,0.0,0,0.0
7467,6,4,1.2062402738873328,1,-0.07142857142857142
7468,0,0,0.0,0,0.0
7469,12,11,5.262986963383838,0,0.0
7470,5,5,1.4517178362573098,0,0.0
7471,0,0,0.0,0,0.0
7472,0,0,0.0,0,0.0
7473,0,0,0.0,0,0.0
7474,319,313,151.48529221143818,1,-0.09999999999999999
7475,6,6,2.3524346405228758,0,0.0
7476,1,1,0.16,0,0.0
7477,26,19,10.792701794733043,1,-0.17500000000000002
7478,0,0,0.0,0,0.0
7479,53,45,23.160615720699052,2,-0.09743589743589742
7480,41,29,15.140187319624824,0,0.0
7481,1,1,0.38125,0,0.0
7482,0,0,0.0,0,0.0
7483,136,130,56.957858486184506,1,-0.2
7484,0,0,0.0,0,0.0
7485,29,28,10.822818163452913,0,0.0
7486,0,0,0.0,0,0.0
7487,35,27,13.798151755651752,0,0.0
7488,0,0,0.0,0,0.0
7489,0,0,0.0,0,0.0
7490,94,83,40.20981246653629,3,-0.3566102135298564
7491,36,32,13.308818056768164,0,0.0
7492,12,12,5.492268518518518,0,0.0
7493,18,16,7.314529481540333,0,0.0
7494,1,1,0.2453113553113553,0,0.0
7495,12,12,5.736844266844267,0,0.0
7496,11,11,3.7035233285233278,0,0.0
7497,164,136,56.196681210073315,3,-0.9500000000000001
7498,14,13,5.268683862433863,0,0.0
7499,21,18,8.061593795093795,1,-0.021875000000000006
7500,0,0,0.0,0,0.0
7501,22,18,8.736667106042106,3,-0.6434595959595959
7502,21,21,7.713127918579005,0,0.0
7503,140,102,43.70787416281907,8,-1.5975
7504,57,41,19.572585198944573,4,-0.39999999999999997
7505,288,281,133.31239031665547,0,0.0
7506,29,27,12.554020627520627,0,0.0
7507,3,3,0.9595138888888888,0,0.0
7508,182,178,78.92320620965289,0,0.0
7509,41,37,16.237264141608875,0,0.0
7510,14,11,3.9797840816590817,0,0.0
7511,0,0,0.0,0,0.0
7512,119,110,46.63254476538658,1,-0.125
7513,164,143,59.704649352985115,0,0.0
7514,17,14,5.663945578231292,0,0.0
7515,0,0,0.0,0,0.0
7516,10,10,4.349384920634921,0,0.0
7517,2,2,0.5737857142857143,0,0.0
7518,1,1,0.19448051948051945,0,0.0
7519,29,21,8.787200775259599,0,0.0
7520,7,7,4.140566017316017,0,0.0
7521,0,0,0.0,0,0.0
7522,22,22,9.198692350143244,0,0.0
7523,0,0,0.0,0,0.0
7524,6,6,2.278020141895142,0,0.0
7525,505,427,169.41738367020338,31,-7.12161933106576
7526,1,0,0.0,1,-0.75
7527,183,158,63.692502011888735,4,-0.8920833333333333
7528,3,2,0.7,0,0.0
7529,3,3,1.1704081632653063,0,0.0
7530,2,2,0.7157142857142857,0,0.0
7531,0,0,0.0,0,0.0
7532,31,27,10.651337862754527,2,-0.2145833333333332
7533,0,0,0.0,0,0.0
7534,2,2,1.0492105263157896,0,0.0
7535,23,18,8.35326515270183,0,0.0
7536,6,3,0.8983796296296297,0,0.0
7537,36,34,18.813498114154363,0,0.0
7538,59,56,27.16035736386286,0,0.0
7539,28,26,11.08821807359307,0,0.0
7540,1,1,0.5052083333333334,0,0.0
7541,41,35,11.067510625492522,3,-0.16837488899988898
7542,7,5,2.6137388591800357,0,0.0
7543,3,3,1.000545634920635,0,0.0
7544,193,169,72.66849272696247,1,-0.016666666666666663
7545,109,106,44.02493006496471,3,-0.3792307692307692
7546,308,285,120.17761625944028,2,-0.08958333333333333
7547,204,171,71.46828768312588,3,-0.319047619047619
7548,34,30,12.808886724386726,0,0.0
7549,4,4,1.5089285714285714,0,0.0
7550,3,2,0.9983796296296297,0,0.0
7551,5,5,2.780952380952381,0,0.0
7552,0,0,0.0,0,0.0
7553,259,251,102.46666493824466,4,-1.6092962962962962
7554,0,0,0.0,0,0.0
7555,0,0,0.0,0,0.0
7556,3,2,0.5436904761904762,0,0.0
7557,37,32,16.193359587942922,3,-1.019111111111111
7558,1,1,0.19027777777777777,0,0.0
7559,73,68,28.491001018315565,0,0.0
7560,198,171,69.64172088093567,2,-0.3092592592592593
